name,rating,vicinity,total_ratings,formatted_address,website,phone_number,opening_hours,reviews,latitude,longitude,arrondissement
Wonderland brunchy Notre Dame/ Restaurant Brunch,4.6,"4 Quai d'Orléans, Paris",1937,"4 Quai d'Orléans, 75004 Paris, France",https://www.instagram.com/p/CpK6rLdIo13/?igshid=YmMyMTA2M2Y=,07 66 82 21 27,"['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20091:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM']","Super good food ! Yummy and looks so pretty. We were well received and served with a smile (so important in Paris right ? 😇)
It’s a little more expensive than we thought but you get what you pay for. Around 18€ for a main. We shared pancakes after so it came out to about 28€ pp for a drink a main and a shared dessert.
Toilets clean, coffee is pretty good, I got a very original drawing on line which made me very happy !; Absolutely amazing brunch spot! We went here every day during our trip in Paris because it was so good. The staff was so kind and friendly to us, especially the server (wish we had asked her name). Highly recommend the eggs Benedict, purple pancakes, and purple french toast. If you want to avoid waiting, go on weekdays or get there when they open on weekends. We loved it!; Best impressions! Food is always delicious, my favorite place for brunch dishes in Paris! Located in the great spot as well! The service is very kind and friendly. Thank you for your always welcoming attitude and honesty.; Food was excellent! Everything that we tried was tasty. Portions were big. Staff was friendly and helpful. But it was 26 degrees outside, you can sit only inside and it was too hot.
All in all it was a very pleasant experience! Thank you!; Me and my friend had the purple french toast, which was amazing!! She already had it before and had to come back to get it.

Also the staff were so lovely and gave us great tips for Paris as a first-timer 🤍",48.8512622,2.3558103,5e
Le bon moment café,4.7,"24 Rue des Bernardins, Paris",383,"24 Rue des Bernardins, 75005 Paris, France",https://lebonmomentparis.eatbu.com/,09 83 09 51 53,"['Monday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20097:00\u202fPM']","What a beautiful cafe! The staff is super friendly and kind. The latte was delicious, and so were my pancakes! They reminded me of American pancakes, which are not easy to find in Paris. I definitely recommend. I can’t wait to go back and try more things on the menu!; We ate here recently for breakfast. It's a really cute café in a very quiet street. My friend and I ordered pancakes, I ordered also the açai bowl. The food was absolutely delicious, and the only fault I had was that the pancakes are so small and unfortunately not filling at all. They were great though but definitely need at least 50% more. The staff are very nice and attentive. The plates were beautifully presented. The coffee is exceptional here, my new favourite café for coffee. Highly recommend this place.; I recently tried the passion fruit iced tea at this café, and it was fantastic. Refreshing and full of flavor, it was the perfect drink for a warm day. The café's setting by the Seine and next to Notre-Dame makes it even more enjoyable. The beautiful surroundings add to the relaxing atmosphere. Highly recommend giving it a try!; One of the first places I visit when I arrive to my first visit to Paris. I needed to work something in my computer and it was great the atmosphere, very wholesome. It has an area for kids to read. The owners were so nice and welcoming. The coffee and the chocolate chip cookies were great (I am a fan of 🍪). If I ever go back I will like to visit once again. I wish the best to this café.; Really cute & lovely coffee shop! Loved the staff there, really nice! In terms of food, we took a carrot cake, a black sesame latte & mango&pineapple smoothie. Everything was really good! I would love to come back and try the other things there. In terms of space, there are not a lot of tables so it can be easily packed, not suitable for big groups. I would recommend coming there! ++ for the lovely menu which was probably handmade and then printed.",48.850106,2.3504724,5e
Dame Tartine,4.2,"2 Rue Brisemiche, Paris",1140,"2 Rue Brisemiche, 75004 Paris, France",https://www.wiictechnology.com/WiiC_clouds/offre.php?resto=223,01 77 18 88 59,"['Monday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u200911:00\u202fPM']","We came across this place totally by chance but what a find. People are incredibly nice, welcoming. The food, homemade, is really good and the meat was excellent. Although area is very touristic, it is the exception and it feels like a local restaurant. Every time we went, most customers were french people which is a great sign. The terrasse experience is really nice; The food was great. I had the veal steak with mashed potatoes and it was awesome. Kids had the beef steak and loved it. Honestly can’t remember my wife dish name but looked great!
The staff were super friendly and spoke fluent English.; I ordered a beef steak and was surprised when they brought a medium rare. By default in every restaurant I've ever been it's medium.

Medium rare is still smth that I eat but it was unevenly fried and a half of the steak was completely raw. Although I was very hungry raw is not what I can eat.

The waitress didn't even bother to ask why I didn't finish my steak. Overall she looked tired, unhappy and at the same time busy - she was the only one to serve all the tables. It wasn't a peak hour and only about third of the tables is not less were occupied.; Great place with great food. I had the sea bass and a huge portion of profiteroles for dessert. So good.
The place is heaving with people in the evening, it’s got a very youthful vibe and I like that.
Great selection of drinks too.; Awful service, the guy was rude to customers and slammed our glasses when serving them to us.
Not to mention when my friend asked for the bill he loudly said that he should go inside to pay while shaking his head.
Do not recommend unless you’re a big fan of cheese and rude people.",48.8593182,2.3517222,5e
Crêperie Little Breizh,4.7,"11 Rue Grégoire de Tours, Paris",1196,"11 Rue Grégoire de Tours, 75006 Paris, France",https://www.facebook.com/LittleBreizhCreperie,01 43 54 60 74,"['Monday: Closed', 'Tuesday: 11:45\u202fAM\u2009–\u20092:40\u202fPM, 6:40\u2009–\u200910:30\u202fPM', 'Wednesday: 11:40\u202fAM\u2009–\u20092:40\u202fPM, 6:40\u2009–\u200910:30\u202fPM', 'Thursday: 11:40\u202fAM\u2009–\u20092:40\u202fPM, 6:40\u2009–\u200910:30\u202fPM', 'Friday: 11:40\u202fAM\u2009–\u20092:40\u202fPM, 6:40\u2009–\u200910:30\u202fPM', 'Saturday: 11:40\u202fAM\u2009–\u20093:15\u202fPM, 6:40\u2009–\u200910:30\u202fPM', 'Sunday: Closed']","Maybe I was eating too fast but I got really full halfway through my first crepe. But I had already pre-ordered the dessert so I definitely overdid it with two crepes. The servers were very nice.; I personally loved this cozy little place. We randomly checked the map and saw its rating so gave it a try, that happened in June 2024 btw. We tried one savory and one sweet crepe and enjoyed both. It was super crowded so service was a little slow but people were quite nice and I felt that they tried their best.; We had ordered one savoury and one sweet crepes.  All is a delicious food.  The service is nice and friendly, but not many types of coffee to select; We had a delicious and delightful meal here - managed to sit down just before the dinner time rush, but the service was friendly and efficient at all times. We had two savoury and one dessert crepes - all were excellent! Compliments to the chef, would love to come back.; We came here on a Saturday afternoon. It wasn't full when we arrived but after we sat down the place started to fill up with people. We ordered the crepe with ham, cheese and egg and the crepe little Breizh crepe as well as a cider. You can't have crepes without cider in France.
The savoury ham, cheese and egg crepe was really crispy and savoury. I preferred the sweet crepe with ice cream and caramel more. It wasn't overly sweet. Everything went really well with the cider.
The service here is VERY nice. A lot of regulars come here and you can see the love and care that the owner has put into maintaining her relationships. Would recommend for crepes.",48.8532158,2.3379429,5e
DICE Caffè,4.8,"11 Rue du Pas de la Mule, Paris",321,"11 Rue du Pas de la Mule, 75004 Paris, France",http://dicecaffe.com/,01 42 71 59 73,"['Monday: Closed', 'Tuesday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200910:30\u202fPM', 'Wednesday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200910:30\u202fPM', 'Thursday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200910:30\u202fPM', 'Friday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200910:30\u202fPM', 'Saturday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200910:30\u202fPM', 'Sunday: Closed']","This place is a hidden gem next to more well known restaurants. We were lucky enough to walk in, unlike most other spots in the area. The service is amazing and the food is incredible. It’s a small menu, but it’s perfect for a date night. The ambiance is superb. I would totally recommend this place to everyone, but we don’t want it to get overrun like everything else in this neighborhood. Go here before it gets too famous.; It was really nice lunch with two of my friends. Healthy and light, and I loved that there are selected menu for a few days. I have issues with choosing the menu, but there were not too many options, so it was easier. I had the haddock fish with aubergine caviar, and it was really tasty and good portion than it seemed. The place was cute and the staff was nice. I'd like to come back :); Had a great customer experience. Simple, tasteful menu. Good food, wine selection and friendly atmosphere. I'll be back!; 4,9/5
EXCELLENT ! EXCELLENT ! EXCELLENT !
Wandering the streets looking for a nice address, we found this cozy joint next to place des Vosges, with a sunday brunch menu !
Very nice and not-cramped restaurant, few tables with spacious seating, wood decor, simple and heartwarming !
The owner (Diego) is a super friendly Italian from Parma, he handles the bar, his wife is the kitchen boss (super friendly as well, graced me with the honour of best client of the week ;)
We tried the 3 brunch main courses, and they were all 3 DELICIOUS !
Eggs with salmon, potato galette with cream cheese.
My favourite was the bun with mozzarella and coppa di parma ; incredibly tasty
and the 3rd and most original was pupkin pancakes with cheese, topped with beets and salad !
Simple, tasty, and copious !
Their juices were really good too ; I tried the refreshing apple, cucumber, lemon shake !
A must try address, e !ven if to grab a simple coffee.; A lovely place. We stumbled upon it for lunch and for 23 EUR had a 3 course menu with generous portions. The food is delicious and the staff lovely. The place is also nicely decorated and definitely worth a visit :)",48.8559262,2.3670624,5e
Crepolog,4.5,"21 Rue Neuve Saint-Pierre, Paris",582,"21 Rue Neuve Saint-Pierre, 75004 Paris, France",https://crepolog.com/,01 43 48 28 34,"['Monday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 11:30\u202fAM\u2009–\u200911:00\u202fPM']","Hi Crepolog!
Nice galettes. Very fast service. The ingredients were fresh, I was surprised by the oregano (great touch on the recipe in my opinion). Maybe one note would be the butter amount, which as we all know can never be enough!
Okay, another note for possible improvement: the menu. The font isn’t really readable, in my view at least :)
Plus points for the sitting, spacious and not crammed (👍) and the location—convenient!
I would like to leave 5 stars to award the work and encourage the future improvements. I would like to come by Crepolog again for a galette in the future again to update my review :); Some of the best food we had in Paris! The staff was very attentive and the crepes and galletes were delicious!; Not bad, exactly how I expected them to taste like; Crêpes are the focus of this place and they’re very good. I tried two sweet ones – the traditional lemon, and the dark chocolate. Both were very good. I’m going to go back and try the savory ones. Also, the men there were very welcoming. It was a nice experience on a rainy day in Paris!; This lovely owner owned restaurant allows you to create your own galettes and crepes from a list of ingredients. The waiters are super helpful. We tried different galettes and dessert crepes all were excellent! The prices are reasonable.",48.854001,2.3624814,5e
Breakfast in America - Latin Quarter,4.2,"17 Rue des Écoles, Paris",3188,"17 Rue des Écoles, 75005 Paris, France",https://breakfast-in-america.com/,01 43 54 50 28,"['Monday: 8:30\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u20095:00\u202fPM']","Woah! I have never seen any Paris restaurant have so many American TV Show or Movie. I can tell what is their favorite show or movie. The sign on board was written in English which I was very surprise to see that. I mean I speak English.

The staff was great and friendly personality. The waitress was very good looking and beautiful.
She did a good job service the food and drink.
I enjoy eating American food again. I love burrito, homemade fries, and Hot chocolate.

Im glad they got a bathroom, but the sink was in a different area and right next to bathroom.; We loved their food! Their California French toast was amazing. Very nice staff, great service. Huge bonus—their tap water is ice cold and is divine (we have not found this anywhere else in Paris); Highly recommend ! I love this place. The food is excellent and the staff is awesome ! If you are looking for scrambled eggs , real bacon and sausage 😁 , toast , fresh squeezed OJ , pancakes and French toast this is the place to visit. Love the Chicago Bears helmet sitting on the shelf. Shout out to Chef Jared Pierre from the ""Chi"".; Great experience and food at this diner.  Service was a dream and the food was excellent!  Would highly recommend to anyone in Paris.; We went on Sunday Brunch, which is very popular, and there was a long wait. That was expected and normal. Once inside the service was very slow. The food was ok. Not great not bad, just ok. The waiter forgot part of our order and we had to wait almost 40 minutes for them to bring it. They had to remind the kitchen about it. It is a very generous 3 stars because the food took way too long for being just ok, but the staff was very friendly. There are way better spots to eat while in Paris.",48.847891,2.351115,5e
Brunch Paris,4.3,"40 Boulevard Beaumarchais, Paris",3,"40 Bd Beaumarchais, 75003 Paris, France",http://www.oubruncher.com/,Numéro non disponible,"['Monday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20093:00\u202fPM']","Correct, lots of choice, good products and unlimited 😉to do for Brunch lovers; Several incredible addresses🥰; ",48.8566382,2.3686049,5e
EatDay,4.5,"73 Rue Saint-Martin, Paris",420,"73 Rue Saint-Martin, 75004 Paris, France",https://eatday75.com/,01 42 74 71 31,"['Monday: 11:30\u202fAM\u2009–\u20092:45\u202fPM, 6:30\u2009–\u200910:45\u202fPM', 'Tuesday: Closed', 'Wednesday: 11:30\u202fAM\u2009–\u20092:45\u202fPM, 6:30\u2009–\u200910:45\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20092:45\u202fPM, 6:30\u2009–\u200910:45\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u20092:45\u202fPM, 6:30\u2009–\u200910:45\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u200910:45\u202fPM', 'Sunday: 11:30\u202fAM\u2009–\u200910:45\u202fPM']","We decided to visit this restaurant based on the good reviews it had on the Fork. We were craving japanese food and noticed they had some special plates. It was really tasty and fresh and very well presented. Our favourite was the gold rolls with mango and the Sushi with cheese and the salad with shrimps.; When I got to this restaurant, it’s warm ,and food is delicious, must try the sushi ,that’s yummy; Service was horrible the entire night. We waited over an hour for our food and by the time we got it the entire restaurant was empty. The staff would yell at each other and ignore me. The food was decent, not amazing. Thankfully it was 40% off through The Fork. I’m definitely not going back and would advise others to avoid.; Really great discovery! You have a great amount of choice in terms of sushis and we were really surprised how tasty it was. You order your food with a tablet which makes it easier. The personnel was also nice. I really recommend to try this place!; Excellent Japanese restaurant at the heart of Paris not far From the center (Chatelet).
The food is very good, the sushi, the sashimi, the California rolls… etc
Fresh ingredients and homemade!
Outstanding service and lovely staff!
I highly recommend this place",48.8594865,2.3503487,5e
Cafe Louise,4.2,"155 Boulevard Saint-Germain, Paris",1334,"155 Bd Saint-Germain, 75006 Paris, France",https://www.cafe-louise.fr/,01 42 22 88 98,"['Monday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Saturday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Sunday: 7:00\u202fAM\u2009–\u20092:00\u202fAM']","We came here for brunch on a Sunday. It’s €38 per person, including a juice (freshly squeezed or detox juice), a coffee, a choice of either waffle or savory tart, and bottomless fruits and desserts from the buffet table. The warm and friendly staff made the already fantastic meal even better. Highly recommended.; Great place for Sunday brunch, had a good Parisian breakfast. Fresh juice, coffee as well.
Dessert was divine, came here with family. The service is slow but quite enjoyable.; We loved Louise! Such Parisian atmosphere and interior. Excellent service and amazing food. Right on the middle of the famous Boulevard Saint-Germain across the street from famous cafes. So lucky we found it!; Visited Café Louise twice last weekend and we were very delighted.
The staff was super nice, professional and funny and the food was delicious. Highly recommended!!; Had a uniquely French lunch - ""grilled cheese"" and champagne, sitting outside, taking in the atmosphere, and watching the crowd walk (fast) by.",48.8538173,2.3321329,5e
Jardin Burger,4.8,"4 Rue Linné, Paris",267,"4 Rue Linné, 75005 Paris, France",Site web non disponible,09 84 37 12 90,"['Monday: 11:30\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 11:30\u202fAM\u2009–\u20094:00\u202fPM']","Amazing food! Huge portion even for the kids meal which came with juice + fruit purée + chocolate! Price was so worth it. I had the fromager, and it was DELICIOUS! There was a lovely lady who was so welcoming and friendly. When we arrived, the line for ordering was so long but she cleared it so fast and had the most amazing service despite the very crowded restaurant. She was also fluent in English and it was very easy to order with her. May God bless her. Alhamdulillah for such a lovely experience. InshaAllah will come again next time when we visit Paris!; This store sells halal and hygine-certified fast food. Located between the metro station and Paris Grand Mosque, it's a perfect stop by for travelers, particularly the muslim ones. They employees speak fluent English. The price is also moderate compared to many fast food restaurant in Paris.; Amazing burgers, cooked to perfection with full beef taste. The people are very welcoming and friendly. A must try if you’re visiting or a regular spot if you live near by.; Food is good (burger gourmet, not the low quality industrial bread or steak of 2mm) but the staff is very rude (I think it’s the owner herself who was on the counter). I was their with my kids and their cousins after visiting the Jardin des plantes. Although we were a big group of 7, the person who served us was visibly frustrated when we asked for napkins or takeaway boxes for the left over. They are a perfect tourist trap and are not interested in having customers coming back again as no effort was done in that regard. It’s a pity as the rude behavior spoiled our whole experience and the kids totally forgot about the quality of food which was above average for a burger place.; Amazing cuisine, service, and great vibes",48.8441876,2.354999,5e
Le Petit Plateau,4.5,"1 Quai aux Fleurs, Paris",285,"1 Quai aux Fleurs, 75004 Paris, France",https://le-petit-plateau-restaurant-paris.eatbu.com/,01 44 07 61 86,"['Monday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20097:00\u202fPM']","Great service, great staff, great view, great food!
It’s a Bingo for French food lovers with a twist!
I HIGHLY recommend the duck Shepherd pie 😋
They have a good selection of wine as well!; Wonderful little restaurant on the small Seine island, located just a few steps away from the Notre Dame cathedral and the Pont Neuf bridge. We had a wonderful evening, with the cook being away and the owner preparing great tasting ravioli for us. We loved the atmosphere. Thanks for having us!; Food was delicious, service from Vincent was amazing. He even played a Brazilian song for me and my wife. I highly recommend this place! 5 stars, for sure!; The food is very delicious. You wont regret it to try it when you come to Paris. Definitely I will be back to this cafe again in our next visit; The cutest little cafe ever! The food was delicious and we really enjoyed the lunch combo. Great place for lunch if you’re by the Notre dame area. Must try the mushroom soup!!",48.8529627,2.3520145,5e
Coffee Club,4.3,"87 Rue d'Assas, Paris",725,"87 Rue d'Assas, 75006 Paris, France",http://www.coffee-club.fr/,01 43 29 87 87,"['Monday: 10:30\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:30\u202fAM\u2009–\u200910:00\u202fPM']","Came here for dinner since I wanted a ceasar salad. It was decent but a little pricy for what it offered. Also had a cocktail and that was good. There was a book event going on but I was just there for the food and there was no issues.; Nice little brunch place next to the Jardin du Luxembourg. There is a nice menu with diverse choices from burgers, to toasties, to classic American breakfasts. The taste is good but I didn’t feel it was anything crazy neither. Prices are alright and not too expensive neither which is nice.; The place is nice and the food is good. The staff is ok. It is overall a nice place, where you better take your time, and reasonably priced.

The French fries where really good.
Unfortunately, we had some half burnt pancakes and too cooked crispy chicken.

We were a party of 7 + a child, ate plentiful and paid around 280€.; I would rate this as a solid “fine”. It’s a place that has potential, the atmosphere is good and the service is excellent.
But the food is really “mid”,
It feels like they are charging as much as a normal portion but giving you kids portions. The food wasn’t even that good or that bad it’s just not really what you’re expecting with the menu, the prices and the American style.

I would stay away from the heuvis rancheros, the tortilla was impossible to cut through.; I don't get homesick as much as many American expats, but I have to admit this place rang some nice bells for me. High-quality American diner cooking, which I sometimes still crave.

Hamburgers without pretense, milkshakes that taste like real milkshakes, and much better fries than I'm accustomed to in Paris.

The service is very friendly, bordering on jovial.

All around, a solid spot.",48.8421104,2.335263,5e
Il était un square,4.8,"54 Rue Corvisart, Paris",2361,"54 Rue Corvisart, 75013 Paris, France",http://www.iletaitunsquare.com/,01 43 37 68 07,"['Monday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u20099:45\u202fPM', 'Tuesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u20099:45\u202fPM', 'Wednesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u20099:45\u202fPM', 'Thursday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u20099:45\u202fPM', 'Friday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u20099:45\u202fPM', 'Saturday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u20099:45\u202fPM', 'Sunday: Closed']","Everything was delicious. Highly recommend egg mayonnaise and goat cheese salad as starter, followed by steak tartar and a hamburger.

Better to make a reservation, because it was full when we arrived and the owner was kind enough to helping us find a table outside.; The Cheddar Burger is next level, clocked medium rare just perfect! We tried also the Hungarian Tartar and was delicious, people and atmosphere are super nice! 5*; Stumbled on this place by accident on the Internet.  I nooked it as was more towards East of city so great place to stop if going in city from Disney.  Its kinda out of town, and we parked nearby. I was a little nervous that we would be the only people on a Tuesday evening, but when I got in there, it was fully booked.
It's super casual but awesome food. My wife and I shared a burger and a salmon tarta, and kids had burgers. The cheff clearly had a love for cheese, and developing tastes at the food was fantastic.  If you want fine dining, this is not for you, but great burgers and food in a casual atmosphere is for you.  The staff are super cool and speak English.  Book, and loads of nearby parking...
My photos are rubbish, but the ones on their website are a true reflection; My absolute favorite tartare place in Paris! Went there twice in June 2024. Had different tartare creations. Both were really nice. The meat was so fresh. Would keep coming back every time I visit Paris. The service was great. The staff were cool.; Many images already but here you have another one of the Roman. It was very good but what stood out for me were the atmosphere and service. The guys were so casual, helpful and fast in delivering our food. Very very good value for the money, can’t wait to come back. Also notice the Reserve button in google and use it, they are fast at confirming that also.

You have a great business there, congratulations and vest wishes to you all.",48.8309972,2.3480279,5e
Breakfast in America - Marais,4.2,"4 Rue Malher, Paris",2733,"4 Rue Malher, 75004 Paris, France",https://breakfast-in-america.com/,01 42 72 40 21,"['Monday: 8:30\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u20095:00\u202fPM']","I found this place while looking for a good Full English Breakfast in Paris. Spoiler alert: instead of finding an English breakfast, I found an American one.

The products don't exactly match the UK ones 100%, but I shouldn't have expected that anyway. The food was good and full of calories — as it should be! ;) The burger and desserts were also nice, and the restaurant has a great American vibe. If that's what you like, you should definitely visit.; Potatoes were crispy, eggs scrambled perfectly, the banana french toast was delicioussss. Much needed breakfast satisfaction.; We went to a small, charming breakfast place with our baby. The staff was polite, friendly, and helpful. However, the prices were a bit high for some items. We had asked for coffee, and they brought it with milk. They also refilled the second cup for free. I think it was a nice gesture of good service to refill the coffee twice.; A small but very welcoming place to have American dinner.
A very fluke that our waiter forgot my milk for my coffee but totally understandable as the place was really busy and he was on his own I believe.
Overall our family would highly recommend this place if your looking for  English speaking breakfast and have a usual American breakfast; Good restaurant overall. Server was very nice and polite.
Quesadilla was a little overcooked and didn’t have much cheese.  Salad was very tasty and chicken bowl was good.",48.85563399999999,2.361382,5e
Chez Nicos,4.8,"44 Rue Mouffetard, Paris",2128,"44 Rue Mouffetard, 75005 Paris, France",http://cheznicos.fr/,01 45 87 28 13,"['Monday: 9:00\u202fAM\u2009–\u20092:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u20092:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u20092:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u20092:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u20092:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u20092:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u20092:00\u202fAM']","The staff was really nice, helped us with our order because we didn’t understand French.
The salt crepe was really really delicious! We’re used to sweet crepes, but the combination with the salty fillings was perfect. We were really full after 😅 the crepe was very big and well served!
I really wanted the sweet crepe for dessert, but I couldn’t get anything after 😂
Highly recommend this place! It wasn’t expensive at all!

Edit: we came Back twice after this review and it exceeded our already high expectations. The nutella and banana crepe is to die for! 🤤; Made-on-demand crepe with lots of options for fillings. We went savory this time with ham and cheese, they were super generous with the filling. Thing with it having tomatoes though is the bottom gets a bit soggy. Nonetheless a very enjoyable and filling midnight snack.; Great crepe, I tried banana and nutella crepe. Really yummy 😋
Then I went ahead and had one more, dark chocolate with coconut. Equally good. I also had a coffee shot to have a good combination of sweet and bitter.; This is the most surprisingly tasty and filling meal. I went twice in one day because it was so good! Best food!! Wish I could go back it was that great. The chef crepe was my favorite. The Nutella banana was also great; We came to Paris for 6 days and we came to Nicos on our second day here. We came back today because the first time was that good (and we might be coming back tomorrow for lunch as well 😂). This time was even better. Freshly made salted crepes… even more delicious than the first time. Very well served, we get out of here with our tummies full and happy.
The staff is very kind and thoughtful.
We will make sure to come back here next time we’re in Paris.

10/10!! Highly recommend.",48.8435686,2.3493977,5e
